keyword,videoId,title,views,likes,comments
gaming,6NPtGfzPREk,"10 BRAND NEW GAMES, STARFIELD PS5 BACKLASH & MORE",342862,16074,1637
gaming,WkoXJFd9KRk,I Built The Ultimate Gaming House!,1534842,14863,846
gaming,NjmU70kG-OY,¡EL GAMING YA ES PARA RICOS! El precio se salió de control,56730,2859,662
gaming,ICE3BcBXllM,Horror Games Now Vs Then… #shorts #viral,1580646,50320,1394
gaming,MxSog0rv5Lg,The Game of Life🎮,216665831,6139769,11600
gaming,72W27NP1veU,HOW IS THIS A KIDS GAME?!? #horrorgame #indiegames #scarygames #gaming,24110415,502936,1996
gaming,HOqSXw2WkOU,I COMPLETE THIS GAME BUT AT WHAT COST!! | SUBLIMINAL ,14277,1681,316
gaming,X3ut6mWfMo8,McDonald’s HAS A GAMING CONSOLE!,1676845,41022,333
gaming,Mvy1z-SmD1E,Gaming in Year 2067,5776726,89388,681
gaming,cIXWWBK2VqQ,Aku Berubah Menjadi Lubang Raksasa Menyedot Semua Bangunan & Brainrot Terbesar,26218,778,259
gaming,CUByVlmDhg0,OFFICIAL KPOP Demon Hunters Game in Roblox?! | Roblox | KPOP Demon Hunters Official,514709,1906,277
gaming,PvpWKeizo6Y,fully legal kill in Hitman #hitman3 #aspecticor #shorts #gaming,79663990,2045748,3822
gaming,mezfKrmMz_Q,Subliminal (Full Game),2542858,54842,4501
gaming,BjyWN8lhpM4,Gaming hat einen Erlöser | Gaming News,45865,5123,187
gaming,uZ3nwYVGMZg,"I Built My DREAM $50,000 Gaming Room!",721620,15083,3361
gaming,nkY1q4Y1Cvs,Full Gameplay of This Island Restoration Simulator,86420,2719,79
gaming,mXOfXMNEpwM,Roblox BANNED These Games..,26861578,397617,3721
gaming,8ZwhtDXhzUc,I Played Fortnite Using ONLY TEMU Gaming Products,11792810,99927,5836
gaming,1dx0gK1iqGI,Xbox Lowers Prices on Game Pass Ultimate - IGN Daily Fix,30558,987,298
gaming,hd8cnQ8FAlQ,Playing Roblox BRAINROT Games For 24 HOURS!,949349,12508,1001
gaming,QF5YpZI1wnk,I Survived 100 Days in Skyblock,43009986,696276,20423
gaming,MnHy5Jbeh_E,Building my Brother an INSANE Gaming PC... #shorts,26573378,658828,8367
